l_freq_filter,h_freq_filter,channels_to_drop,baseline_correction,projectors_to_apply,selected_frequency,tmin,tmax,detrend,reject,flat,ica_to_exclude,scaler,n_components,cov_est,log,model_type,trial_combo,sub_A,sub_C,sub_D,sub_E,sub_F,sub_G,sub_H,sub_J,sub_L
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,12,epoch,False,NN,"(1, 5)",0.5714285969734192,0.5138888955116272,0.5,0.47826087474823,0.48750001192092896,0.5068492889404297,0.48275861144065857,0.36000001430511475,0.4871794879436493
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,12,epoch,False,NN,"(1, 4)",0.5573770403862,0.52173912525177,0.4931506812572479,0.5142857432365417,0.5,0.5070422291755676,0.508474588394165,0.5205479264259338,0.5
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,12,epoch,False,NN,"(2, 4)",0.546875,0.5068492889404297,0.4931506812572479,0.5,0.550000011920929,0.5675675868988037,0.4576271176338196,0.6811594367027283,0.5
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,12,epoch,False,NN,"(1, 3)",0.35483869910240173,0.5479452013969421,0.49295774102211,0.5072463750839233,0.5,0.4794520437717438,0.508474588394165,0.5797101259231567,0.49367088079452515
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,12,epoch,False,LDA,"(1, 5)",0.5178571428571429,0.4794520547945205,0.5972222222222222,0.5217391304347826,0.6125,0.4931506849315068,0.5172413793103449,0.7368421052631579,0.5128205128205128
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,12,epoch,False,LDA,"(1, 4)",0.4918032786885246,0.5571428571428572,0.6575342465753424,0.6428571428571429,0.6375,0.5915492957746479,0.5254237288135594,0.7808219178082192,0.5
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,12,epoch,False,LDA,"(2, 4)",0.734375,0.4864864864864865,0.5068493150684932,0.5285714285714286,0.6125,0.4594594594594595,0.559322033898305,0.6811594202898551,0.5
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,12,epoch,False,LDA,"(1, 3)",0.5,0.5405405405405406,0.647887323943662,0.5217391304347826,0.6375,0.6438356164383562,0.5,0.42857142857142855,0.5063291139240507
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,24,concat,True,NN,"(1, 5)",0.4642857015132904,0.4864864945411682,0.5,0.47826087474823,0.5249999761581421,0.5068492889404297,0.5614035129547119,0.6052631735801697,0.4871794879436493
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,24,concat,True,NN,"(1, 4)",0.5573770403862,0.5285714268684387,0.4931506812572479,0.5,0.574999988079071,0.5070422291755676,0.508474588394165,0.6712328791618347,0.5
,40,"['AFz', 'F7', 'F8']",,"slice(None, 1, None)",256,1,4.5,,{'eeg': 150},{'eeg': 20},,robust,24,concat,True,NN,"(2, 4)",0.4769230782985687,0.5540540814399719,0.5205479264259338,0.5285714268684387,0.512499988079071,0.5270270109176636,0.508474588394165,0.5072463750839233,0.5
